guid,polish,english,video,video_media_anchor,video_title,video_url,cloze_listen_hack,priority,tags
H9!-K>3|Ia,"{{c2::Ale}} {{c3::na}} {{c4::tym}} {{c5::nie}} kończy się {{c9::rola}} słowa ""proszę"" {{c6::w}} {{c8::języku}} {{c7::polskim}}.","But that's not the whole role of the word ""proszę"" in the Polish language.",EuJlGjJSuKs-0075_73-0079_07.webm,[sound:EuJlGjJSuKs-0075_73-0079_07.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},138,
r(hNd:7qky,"{{c2::Bardzo}} często używamy {{c3::go}}, gdy komuś coś dajemy, wręczamy drugiej osobie jakiś przedmiot.","Very often we use it when we give something to somebody, we hand another person an object.",EuJlGjJSuKs-0079_10-0084_73.webm,[sound:EuJlGjJSuKs-0079_10-0084_73.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},181,
q|)cl[?)mD,"Gdybyśmy chcielisbyć super uprzejmi {{c2::albo}} dać coś komuś zwielkim entuzjazmem, {{c3::to}} możemy również powiedzieć ""proszę bardzo"".","If we wanted to be super polite or give something to somebody with huge enthusiasm, we can also say ""proszę bardzo"".",EuJlGjJSuKs-0087_10-0094_10.webm,[sound:EuJlGjJSuKs-0087_10-0094_10.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},239,
M/]/`if8Ql,"{{c2::To}} {{c3::trochę}} {{c4::tak}}, jakby powiedzieć ""proszę"", {{c5::ale}} bardziej.","Its a bit like saying ""proszę"", but more.",EuJlGjJSuKs-0094_13-0097_00.webm,[sound:EuJlGjJSuKs-0094_13-0097_00.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},97,
d4j/fyO_=(,"{{c2::Dziękuję}}, {{c3::z}} {{c7::jakiej}} {{c4::to}} {{c5::okazji}}? - {{c6::Bez}} {{c5::okazji}}.","Thank you, whats the occasion? - Theres no occasion.",EuJlGjJSuKs-0098_03-0101_03.webm,[sound:EuJlGjJSuKs-0098_03-0101_03.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},96,
ueC2pkwc~`,"Zawsze używamy tego {{c2::słowa}} też, {{c3::kiedy}} przepuszczamy kogoś {{c4::w}} drzwiach {{c5::i}} {{c6::chcemy}} zapewnić tę osobę, żeby śmiało weszła przed nami.",We also always use this word when we let someone go ahead of us in a door and we want to assure this person to freely go in front of us.,EuJlGjJSuKs-0101_60-0110_10.webm,[sound:EuJlGjJSuKs-0101_60-0110_10.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},263,
mx9IZsH3Sa,Proszę. - Dzięki!,Go ahead. - Thanks!,EuJlGjJSuKs-0111_17-0113_93.webm,[sound:EuJlGjJSuKs-0111_17-0113_93.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},37,
f.YYubLUNc,"{{c2::A}} skoro już o drzwiach mowa, {{c3::to}} {{c4::słowa}} ""proszę"" używamy, {{c5::kiedy}}; ktośpuka {{c6::do}} drzwi, {{c7::a}} {{c8::my}} {{c9::chcemy}}, żeby wszedł {{c10::do}} środka.","Since we're already talking about doors, then we use the word ""proszę"" when someone is knocking on a door, and we want them to come in.",EuJlGjJSuKs-0114_07-0120_80.webm,[sound:EuJlGjJSuKs-0114_07-0120_80.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},253,
gP6]3Or`Dx,"Możemy się {{c2::z}} tym spotkać, {{c3::kiedy}} idziemy {{c4::do}} lekarza, pukamy {{c5::do}} gabinetu lekarskiego, {{c6::a}} lekarz odpowiada ""proszę"" {{c7::i}} wtedy możemy śmiało wchodzić do środka.","We can encounter this when we go to a doctor, we're knocking on a doctors office, and the doctor is answering ""proszę"" and then we can freely come inside.",EuJlGjJSuKs-0120_83-0128_73.webm,[sound:EuJlGjJSuKs-0120_83-0128_73.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},308,
A<8>D6:XoF,"""Proszę?"" powiemy też, {{c2::kiedy}} kogoś nie usłyszeliśmy.  {{c3::i}} {{c4::chcemy}} poprosić go, żeby jeszcze raz powtórzył {{c5::to}}, {{c6::co}} właśnie powiedział.","Well also say ""proszę?"", when we haven't heard someone and we want to ask them to repeat one more time what they've just said.",EuJlGjJSuKs-0136_43-0145_27.webm,[sound:EuJlGjJSuKs-0136_43-0145_27.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},256,
plKcsjiQ;q,"Można by {{c2::w}} tej sytuacji powiedzieć ""co?"", {{c3::ale}} ""proszę"" {{c4::jest}} dużo bardziej uprzejme.  Proszę?","We could say ""co?"" (what?) in this situation, but ""proszę"" is much more polite.  Excuse me?",EuJlGjJSuKs-0145_30-0153_27.webm,[sound:EuJlGjJSuKs-0145_30-0153_27.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},205,
Im;)ZTAEZ!,"Istnieje też {{c2::w}} {{c3::języku}} {{c4::polskim}} taka konstrukcja {{c5::jak}} ""proszę pani"" {{c6::i}} ""proszę pana"".","There's also a construction in the Polish language like ""proszę pana” (sir) and ""proszę pani"" (miss).",EuJlGjJSuKs-0153_50-0157_97.webm,[sound:EuJlGjJSuKs-0153_50-0157_97.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},183,
b6`d=1Ia6e,"{{c2::Na}} przykład dzieci {{c3::w}} szkole zawsze zwracają się {{c4::tak}} {{c5::do}} pań {{c6::nauczycielek}}: ""{{c7::Proszę pani, proszę pani!}}”","For example, children always address their teachers in this way: ""Miss, miss!”",EuJlGjJSuKs-0158_00-0163_53.webm,[sound:EuJlGjJSuKs-0158_00-0163_53.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},179,
l/XDt:UJD8,"{{c2::Proszę pana}}! {{c3::Ale}} {{c4::to}} {{c5::nie}} {{c6::jest}} infolinia {{c7::pana}} banku.  {{c8::Proszę}} sprawdzić, {{c9::czy}} pań'żadzwonił pod {{c10::dobry}} {{c11::numer}}.",Sir! But this isn't the helpline of your bank.  Please check whether you've called the right number.,EuJlGjJSuKs-0166_90-0173_27.webm,[sound:EuJlGjJSuKs-0166_90-0173_27.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},205,
t(zMx}>_a2,"{{c2::Ale}} ponieważ byłoby {{c3::za}} prosto, gdyby ""proszę"" {{c4::było}} {{c5::tylko}} wyrazem uprzejmości, {{c6::jest}} {{c7::też}} kilka innych kontekstów, {{c8::w}} których możemy {{c9::go}} użyć.","But because it would be too easy if ""proszę"" was only a way of expressing.politeness, there are also a few other contexts in which we can use it.",EuJlGjJSuKs-0176_07-0185_67.webm,[sound:EuJlGjJSuKs-0176_07-0185_67.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},283,
wRN1dLaM>F,"{{c2::Na}} przykład {{c3::w}} połączeniu {{c4::ze}} {{c5::słowem}} ""no"" {{c6::albo}} ""o"" {{c7::jest}} wyrazem takiego lekkiego zdziwienia, zaskoczenia.","For example, in a combination with the word ""no"" or ""o"" is an expression of a slight wonder, surprise.",EuJlGjJSuKs-0185_70-0193_17.webm,[sound:EuJlGjJSuKs-0185_70-0193_17.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},206,
QnrczlVcr<,"O, proszę! No proszę!","Well, well! Well, well!",EuJlGjJSuKs-0193_33-0196_03.webm,[sound:EuJlGjJSuKs-0193_33-0196_03.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},45,
KrK*Ylo?.X,"{{c2::No}} stara, {{c3::i}} {{c5::te}} zdjęcia {{c4::na}} {{c10::tą}} nową stronę, trzeba {{c8::się}} umówić {{c6::z}} Dawidem {{c7::i}} jakoś {{c9::to}} ogarnąć...","Hey, and those pictures for the new website, we need to make an appointment with Dawid and figure it out...",EuJlGjJSuKs-0196_07-0200_50.webm,[sound:EuJlGjJSuKs-0196_07-0200_50.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},200,
l@O3YCCW*<,"Miałaś dzisiaj {{c2::nie}} mieć czasu, żeby się' spotkać. {{c3::Jestem!}}",You were suppośed to not have the time to meet today. (But) I'm here!,EuJlGjJSuKs-0202_87-0207_97.webm,[sound:EuJlGjJSuKs-0202_87-0207_97.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},127,
evG{X|{rmu,"{{c2::Jest}} {{c3::też}} takie powiedzonko, {{c6::które}}&nbsp;{{c4::bardzo}} {{c5::lubię}}: ""proszę cię”.","There's also a saying that I really: like: ""proszę cię"" (oh please).",EuJlGjJSuKs-0208_03-0211_70.webm,[sound:EuJlGjJSuKs-0208_03-0211_70.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},130,
A)=6ZBKWaV,"{{c2::W}} sytuacji, {{c3::w}} {{c4::której}} Justyna panikuje i stresuje {{c5::się}}, {{c6::że}} {{c7::nie}} {{c8::mamy}} gotowego Odcinka {{c9::na}} czwartek, {{c10::ja}} {{c11::jej}} {{c12::na}} {{c13::to}} {{c14::mówię}}: ""{{c15::Proszę cię}}, ogarniemy!""","In a situation in which Justyna is panicking and stressed that our episode is not ready for Thursday, I tell her: ""Oh please, well figure it out!""",EuJlGjJSuKs-0211_73-0219_20.webm,[sound:EuJlGjJSuKs-0211_73-0219_20.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},287,
"u9,y+Z)t2-","{{c2::I}} wtedy {{c3::to}} oznacza, {{c4::że}} ma {{c5::nie}} panikować i się {{c6::nie}} {{c7::stresować}}.",And then it means that she's not supposed to panic and stress.,EuJlGjJSuKs-0219_23-0223_43.webm,[sound:EuJlGjJSuKs-0219_23-0223_43.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},123,
PmMrzu}x7n,"Ej Pati, {{c2::bo}} {{c3::jeszcze}} musimy {{c4::tą}} scenę {{c5::z}} tymil drzwiami, tą wodę {{c6::i}} zachód słońca {{c7::już}} {{c8::jest}} {{c9::za}} {{c10::15}} {{c11::minut}}.  {{c12::Proszę cię}}, Justyna, ogarniemy!","Hey Pati, so we still need (to record) the scene with the door, the water, and the sunset is in 15 minutes.  Oh please, Justyna, we!ll figure it out!",EuJlGjJSuKs-0223_47-0233_07.webm,[sound:EuJlGjJSuKs-0223_47-0233_07.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},282,
IzM7K^Y^YN,"{{c2::Mamy}} nadzieję, {{c3::że}} {{c4::juź}} {{c5::teraz}} {{c6::wiecie}}, {{c7::gdzie}} {{c8::i}} {{c9::jak}} {{c10::używać słowa}} ""proszę"".","We hope that now you know where and how. to use the word ""proszę"".",EuJlGjJSuKs-0233_17-0236_70.webm,[sound:EuJlGjJSuKs-0233_17-0236_70.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},137,
kRv<.?4|r},"{{c2::W}} komentarzach, {{c3::proszę}}, koniecznie dajcie nam znać, w.jakich sytuacjach Wy najczęściej spotykacie {{c4::się}} {{c5::z}} {{c6::tym}} {{c7::słowem}}.",In the comments please definitely let us know in which situations you usually encounter this word.,EuJlGjJSuKs-0236_73-0243_63.webm,[sound:EuJlGjJSuKs-0236_73-0243_63.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},214,
D+8[PI5~kY,"{{c2::A}} jeżeli chcielibyście otrzymać dodatkowe materiały {{c3::do}} tego odcinka, zajrzyjcie, proszę, {{c4::na}} ńaszego Patreona.","And if you'd like to receive extra material for this episode, then please check out our Patreon.",EuJlGjJSuKs-0243_67-0248_90.webm,[sound:EuJlGjJSuKs-0243_67-0248_90.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},206,
K~HlYB|Pgu,"Wszystkie linki {{c2::w}} opisie pod filmem, tam na dole.","AII the links are in the description under the video, down below.",EuJlGjJSuKs-0248_93-0251_90.webm,[sound:EuJlGjJSuKs-0248_93-0251_90.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},115,
G~(NZ$dJfw,{{c2::I}} {{c3::do}} zobaczenia {{c4::w}} kolejnym odcinku. {{c5::Pa}}!,And see you in the next episode. Bye!,EuJlGjJSuKs-0251_93-0256_23.webm,[sound:EuJlGjJSuKs-0251_93-0256_23.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},77,
"p3USgo,x?)",i {{c2::nauczymy}} najprostszych zwrotów {{c3::w}} {{c4::języku}} {{c5::polskim}}.,and teach you the Easiest expressions in the Polish language.,VOYiVxGRqJU-0035_97-0041_57.webm,[sound:VOYiVxGRqJU-0035_97-0041_57.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},112,
esEv>7gDGo,Co to jest? - To jest drzewo.,What is this? - This is a tree.,VOYiVxGRqJU-0062_73-0067_90.webm,[sound:VOYiVxGRqJU-0062_73-0067_90.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},61,
kiw@]J)LyO,"Ten, tamten","This, that (male gender)",VOYiVxGRqJU-0068_20-0072_97.webm,[sound:VOYiVxGRqJU-0068_20-0072_97.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},36,
pL[Xe(OQ2_,Co to jest? - To jest zegarek.,What is this? - This is a watch.,VOYiVxGRqJU-0073_10-0077_23.webm,[sound:VOYiVxGRqJU-0073_10-0077_23.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},54,
DY!>7<8v4s,"{{c2::Ten}} zegarek jest {{c3::mój}}, a {{c4::tamten}} zegarek jest Patrycji.","This watch is mine, and that watch is Patrycjas.",VOYiVxGRqJU-0077_27-0084_83.webm,[sound:VOYiVxGRqJU-0077_27-0084_83.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},103,
QTlLHg$No0,"Ta, tamta","This, that (female gender)",VOYiVxGRqJU-0084_87-0088_17.webm,[sound:VOYiVxGRqJU-0084_87-0088_17.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},29,
chF_CAi_[H,Co to jest? - To jest bluzka.,What is this? - This is a T-shirt.,VOYiVxGRqJU-0088_20-0092_40.webm,[sound:VOYiVxGRqJU-0088_20-0092_40.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},64,
JJ}wb]0IS+,"{{c2::Ta}} bluzka jest biała, a {{c3::tamta}} bluzka jest niebieska.","This T-shirt is white, and that T-shirt is blue.",VOYiVxGRqJU-0092_43-0099_97.webm,[sound:VOYiVxGRqJU-0092_43-0099_97.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},101,
M_oo|bmXog,tamto,that (neuter),VOYiVxGRqJU-0102_17-0102_93.webm,[sound:VOYiVxGRqJU-0102_17-0102_93.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},19,
q!R$FVBrf&,Co {{c2::to}} jest?,What is this?,VOYiVxGRqJU-0102_97-0105_27.webm,[sound:VOYiVxGRqJU-0102_97-0105_27.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},25,
htH8tkOmod,{{c2::To}} jest krzesło.,This is a chair.,VOYiVxGRqJU-0105_30-0108_13.webm,[sound:VOYiVxGRqJU-0105_30-0108_13.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},33,
olKLx=XS2+,"{{c2::To}} krzesło {{c3::stoi}} {{c4::po}} {{c5::mojej}} {{c6::prawej}} stronie, {{c7::a}} {{c8::tamto}} krzesło {{c9::stoi}} {{c10::za}} stołem.","This chair is standing on my right side, and that chair is standing behind the table.",VOYiVxGRqJU-0108_17-0118_03.webm,[sound:VOYiVxGRqJU-0108_17-0118_03.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},158,
OV)ZVpQd]l,"Te, tamte","These, those (non-masculine plural gender)",VOYiVxGRqJU-0118_07-0122_53.webm,[sound:VOYiVxGRqJU-0118_07-0122_53.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},53,
pmb@J%kLOH,{{c2::To}} {{c3::są}} kwiatki.,These are flowers,VOYiVxGRqJU-0124_97-0125_77.webm,[sound:VOYiVxGRqJU-0124_97-0125_77.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},32,
Ew8xr*uWE|,{{c2::W}} {{c3::jakim}} {{c4::kolorze}} {{c5::są}} {{c6::te}} kwiatki?,What colour are these flowers?,VOYiVxGRqJU-0125_90-0128_47.webm,[sound:VOYiVxGRqJU-0125_90-0128_47.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},55,
u6UNH<67lj,"{{c2::Te}} kwiatki {{c3::są}} {{c4::w}} {{c5::kolorze}} różowym, {{c8::a}} {{c6::tamte}} {{c7::są}} {{c9::w}} {{c10::kolorze}} fioletowym.","These flowers are pink, and those flowers are purple.",VOYiVxGRqJU-0128_80-0135_97.webm,[sound:VOYiVxGRqJU-0128_80-0135_97.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},119,
nYc^%5c(_L,Kto {{c2::to}} jest?,Who is this?,VOYiVxGRqJU-0138_47-0140_00.webm,[sound:VOYiVxGRqJU-0138_47-0140_00.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},25,
e$>$EvXR7d,{{c2::To}} jest Dawid.,This is Dawid.,VOYiVxGRqJU-0144_93-0148_13.webm,[sound:VOYiVxGRqJU-0144_93-0148_13.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},29,
h:N4~kKc?D,Gdzie?,Where?,VOYiVxGRqJU-0152_93-0154_77.webm,[sound:VOYiVxGRqJU-0152_93-0154_77.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},13,
r=q8R]E%S2,Gdzie jest Patrycja?,Where is Patrycja?.,VOYiVxGRqJU-0154_80-0156_97.webm,[sound:VOYiVxGRqJU-0154_80-0156_97.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},40,
v}4crV(fLn,"Patrycja, a {{c2::gdzie}} {{c3::są}} ćwiczenia {{c4::do}} {{c5::tego}} odcinka?","Patrycja, and where are the exercises for this episode?",VOYiVxGRqJU-0158_80-0161_60.webm,[sound:VOYiVxGRqJU-0158_80-0161_60.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},103,
hTa7z2WAm6,Ćwiczenia można znaleźć na naszym Patreonie.,You can find the exercises on our Patreon.,VOYiVxGRqJU-0161_63-0163_77.webm,[sound:VOYiVxGRqJU-0161_63-0163_77.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},87,
I[|P`:DRqD,Wszystkie linki znajdziecie w opisie-odcinka pod spodem.,You will find all the links down in'the description of this episode.,VOYiVxGRqJU-0163_80-0167_43.webm,[sound:VOYiVxGRqJU-0163_80-0167_43.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},125,
v;%5s~j~~d,"{{c2::Tam}} {{c3::na}} dole? - Tak, {{c2::tam}} {{c3::na}} dole. - Okay.","Down below? = Yes, down below. - OK.",VOYiVxGRqJU-0167_53-0170_47.webm,[sound:VOYiVxGRqJU-0167_53-0170_47.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},77,
nuO~9J)Uxz,"Patrycja, {{c2::kiedy}} {{c3::jedziesz}} {{c4::na}} {{c5::wakacje}}?","Patrycja, when are you going on holiday?",VOYiVxGRqJU-0180_07-0182_50.webm,[sound:VOYiVxGRqJU-0180_07-0182_50.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},77,
